varible_name,method,"AffinityPropagation(damping=0.999, random_state=0)","AgglomerativeClustering(metric='euclidean', n_clusters=13)","KMeans(n_clusters=13, n_init='auto', random_state=0)",MeanShift(bandwidth=2.3),"SpectralClustering(assign_labels='discretize', n_clusters=13, random_state=0)"
test_acc,numpy.mean(all_test_acc_val),CLUSTER_23,CLUSTER_11,CLUSTER_8,CLUSTER_0,CLUSTER_1
self._labels,numpy.hstack(all_labels),CLUSTER_23,CLUSTER_11,CLUSTER_8,CLUSTER_0,CLUSTER_1
self._data,numpy.vstack(all_data),CLUSTER_23,CLUSTER_11,CLUSTER_8,CLUSTER_0,CLUSTER_1
au_1062bio,pandas.DataFrame(list(collection.find(),CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
principalDf,pandas.DataFrame(data=principalComponents),CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
au_1062bio_feature,"pandas.concat([au_1062bio_feature,noise1])",CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
au_1062bio,"pandas.merge(au_1062bio_feature,au_1062bio_score,on='_id')",CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
Epsilon,"numpy.arange(Begin_Range,End_Range,Interval_Size)",CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
"y_true,y_pred",numpy.array(y_true),CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
var,"numpy.cumsum(np.round(pca.explained_variance_ratio_,decimals=3)",CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
ssres,numpy.sum(np.square(y_true-y_pred),CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
sstot,numpy.sum(np.square(y_true-np.mean(y_pred),CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
f_test,numpy.var(y_test),CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
tsne,"sklearn.manifold.TSNE(perplexity=1,n_components=2,init='pca',n_iter=250)",CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
"X_train,X_test,y_train,y_test","sklearn.model_selection.train_test_split(au_1062bio_x,au_1062bio_y,test_size=0.3)",CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
"X_train,X_test,y_train,y_test","sklearn.model_selection.train_test_split(au_1062bio_x,au_1062bio_y,test_size=0.3)",CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
clf,sklearn.svm.SVR(),CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
mlp,"sklearn.neural_network.MLPRegressor(hidden_layer_sizes=(2,)",CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
pca,sklearn.decomposition.PCA(n_components=9),CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
pca,sklearn.decomposition.PCA(n_components=14),CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
regr,"sklearn.ensemble.RandomForestRegressor(max_depth=5,random_state=0)",CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
scale,sklearn.preprocessing.StandardScaler(),CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
scale,sklearn.preprocessing.StandardScaler(),CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
rmse,"math.sqrt(mean_squared_error(y_test,y_pred)",CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
training_loss,"math.sqrt(mean_squared_error(y_train,y_validate)",CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
AUC,"scipy.integrate.simps(Accuracy,Epsilon)",CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
"fig1,ax1","matplotlib.pyplot.subplots(figsize=(18,8)",CLUSTER_28,CLUSTER_12,CLUSTER_11,CLUSTER_31,CLUSTER_9
df_1,pandas.DataFrame(columns=b),CLUSTER_0,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
df,"pandas.read_csv(your_local_path+""attachment_Grocery.csv"")",CLUSTER_0,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
b,numpy.unique(a),CLUSTER_0,CLUSTER_2,CLUSTER_3,CLUSTER_0,CLUSTER_0
bet_number,"random.randint(0,36)",CLUSTER_30,CLUSTER_5,CLUSTER_0,CLUSTER_0,CLUSTER_1
bet,"random.randint(10,p.capital)",CLUSTER_30,CLUSTER_5,CLUSTER_0,CLUSTER_0,CLUSTER_1
spin,"random.randint(0,36)",CLUSTER_30,CLUSTER_5,CLUSTER_0,CLUSTER_0,CLUSTER_1
food_review_total,pandas.DataFrame(),CLUSTER_1,CLUSTER_1,CLUSTER_6,CLUSTER_0,CLUSTER_4
df_food_review,pandas.DataFrame(food_review_join),CLUSTER_1,CLUSTER_1,CLUSTER_6,CLUSTER_0,CLUSTER_4
food_info_total,pandas.DataFrame(),CLUSTER_1,CLUSTER_1,CLUSTER_6,CLUSTER_0,CLUSTER_4
food_info_total,pandas.DataFrame(),CLUSTER_1,CLUSTER_1,CLUSTER_6,CLUSTER_0,CLUSTER_4
food_info,pandas.DataFrame(food_info),CLUSTER_1,CLUSTER_1,CLUSTER_6,CLUSTER_0,CLUSTER_4
food_review_total,"pandas.concat([food_review_total,food_review])",CLUSTER_1,CLUSTER_1,CLUSTER_6,CLUSTER_0,CLUSTER_4
food_info_total,"pandas.concat([food_info_total,food_info])",CLUSTER_1,CLUSTER_1,CLUSTER_6,CLUSTER_0,CLUSTER_4
food_review_merge,"pandas.merge(df_food_review,food_info_total,how='inner',left_on=['country','label'],right_on=['country','001_상호명'])",CLUSTER_1,CLUSTER_1,CLUSTER_6,CLUSTER_0,CLUSTER_4
food_review,"pandas.read_csv(path,encoding=""UTF-8"")",CLUSTER_1,CLUSTER_1,CLUSTER_6,CLUSTER_0,CLUSTER_4
food_info,"pandas.read_csv(path,encoding=""UTF-8"")",CLUSTER_1,CLUSTER_1,CLUSTER_6,CLUSTER_0,CLUSTER_4
countries,os.listdir(),CLUSTER_1,CLUSTER_1,CLUSTER_6,CLUSTER_0,CLUSTER_4
countries,os.listdir(),CLUSTER_1,CLUSTER_1,CLUSTER_6,CLUSTER_0,CLUSTER_4
cities,os.listdir(),CLUSTER_1,CLUSTER_1,CLUSTER_6,CLUSTER_0,CLUSTER_4
emoji_pattern,"re.compile(""[""
u""\U0001F600-\U0001F64F""
u""\U0001F300-\U0001F5FF""
u""\U0001F680-\U0001F6FF""
u""\U0001F1E0-\U0001F1FF""
""]+"",flags=re.UNICODE)",CLUSTER_1,CLUSTER_1,CLUSTER_6,CLUSTER_0,CLUSTER_4
image_copy,numpy.copy(image),CLUSTER_26,CLUSTER_7,CLUSTER_11,CLUSTER_30,CLUSTER_8
key_pts_copy,numpy.copy(key_pts),CLUSTER_26,CLUSTER_7,CLUSTER_11,CLUSTER_30,CLUSTER_8
key_pts_frame,pandas.read_csv('data/training_frames_keypoints.csv'),CLUSTER_26,CLUSTER_7,CLUSTER_11,CLUSTER_30,CLUSTER_8
self.key_pts_frame,pandas.read_csv(csv_file),CLUSTER_26,CLUSTER_7,CLUSTER_11,CLUSTER_30,CLUSTER_8
fig,"matplotlib.pyplot.figure(figsize=(20,10)",CLUSTER_26,CLUSTER_7,CLUSTER_11,CLUSTER_30,CLUSTER_8
fig,matplotlib.pyplot.figure(),CLUSTER_26,CLUSTER_7,CLUSTER_11,CLUSTER_30,CLUSTER_8
ax,"matplotlib.pyplot.subplot(1,num_to_display,i+1)",CLUSTER_26,CLUSTER_7,CLUSTER_11,CLUSTER_30,CLUSTER_8
ax,"matplotlib.pyplot.subplot(1,3,i+1)",CLUSTER_26,CLUSTER_7,CLUSTER_11,CLUSTER_30,CLUSTER_8
map_reverse_n,pandas.Series(np.zeros(len(index_n),CLUSTER_3,CLUSTER_1,CLUSTER_10,CLUSTER_0,CLUSTER_0
map_reverse,"pandas.concat([map_reverse_p,map_reverse_n])",CLUSTER_3,CLUSTER_1,CLUSTER_10,CLUSTER_0,CLUSTER_0
train,pandas.read_csv(path+'train_cleaned_final.csv'),CLUSTER_3,CLUSTER_1,CLUSTER_10,CLUSTER_0,CLUSTER_0
test,pandas.read_csv(path+'test_cleaned_final.csv'),CLUSTER_3,CLUSTER_1,CLUSTER_10,CLUSTER_0,CLUSTER_0
kf,"sklearn.model_selection.KFold(n_splits=K,shuffle=True,random_state=233)",CLUSTER_3,CLUSTER_1,CLUSTER_10,CLUSTER_0,CLUSTER_0
district_summary_df,"pandas.DataFrame(
[{""TotalSchools"":school_count,
""TotalStudents"":student_count,
""TotalBudget"":total_budget,
""AverageMathScore"":average_math_score,
""AverageReadingScore"":average_reading_score,
""%PassingMath"":passing_math_percentage,
""%PassingReading"":passing_reading_percentage,
""%OverallPassing"":overall_passing_percentage}])",CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
df,pandas.DataFrame(per_school_types),CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
per_school_summary_df,"pandas.DataFrame({
""SchoolType"":per_school_types,
""TotalStudents"":per_school_counts,
""TotalSchoolBudget"":per_school_budget,
""PerStudentBudget"":per_school_capita,
""AverageMathScore"":per_school_math,
""AverageReadingScore"":per_school_reading,
""%PassingMath"":per_school_passing_math,
""%PassingReading"":per_school_passing_reading,
""%OverallPassing"":per_overall_passing_percentage})",CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
math_scores_by_grade,"pandas.DataFrame({
""9th"":ninth_grade_math_scores,
""10th"":tenth_grade_math_scores,
""11th"":eleventh_grade_math_scores,
""12th"":twelfth_grade_math_scores})",CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
reading_scores_by_grade,"pandas.DataFrame({
""9th"":ninth_grade_reading_scores,
""10th"":tenth_grade_reading_scores,
""11th"":eleventh_grade_reading_scores,
""12th"":twelfth_grade_reading_scores})",CLUSTER_1,CLUSTER_1,CLUSTER_2,CLUSTER_0,CLUSTER_1
